Date,Volume,weekly returns
11/23/2012,29520900,-14.41666666666667
11/21/2012,89862400,-11.184210526315784
11/20/2012,46655300,-21.212121212121204
11/19/2012,85021300,-19.197207678883064
11/16/2012,107182200,-11.884550084889648
11/15/2012,78857700,-17.952187640956232
11/14/2012,229751000,-16.010733452593925
11/13/2012,71775100,-20.84592145015106
11/12/2012,67349200,-21.175884404583954
11/9/2012,42295500,-20.249869859448204
11/8/2012,34254600,-14.657328664332184
11/7/2012,33396800,-15.095261358085002
11/6/2012,29062700,-4.7236655644780345
11/5/2012,31806700,-5.223529411764703
11/2/2012,38344400,6.232294617563741
11/1/2012,37713900,5.374823196605377
10/31/2012,99378200,9.00047370914258
10/26/2012,73259600,8.88787602552417
10/25/2012,76142000,9.26418439716312
10/24/2012,228949900,8.867843306069732
10/23/2012,78381200,-8.974358974358974
10/22/2012,32447300,-9.627329192546581
10/19/2012,34835000,-11.631578947368427
10/18/2012,52157400,-11.22233930453108
10/17/2012,44074500,-10.362173038229388
10/16/2012,21834700,-15.811088295687876
10/15/2012,20189700,-19.006147540983612
10/12/2012,18809400,0.10245901639344043
10/11/2012,21817300,2.1772151898734164
10/10/2012,39321800,3.258655804480654
10/9/2012,27161800,6.1789421651013345
10/8/2012,32236700,2.5490196078431353
10/5/2012,40529300,6.838833094213294
10/4/2012,46892100,11.070615034168565
10/3/2012,32000100,10.581768208886848
10/2/2012,29341400,11.315671306690614
10/1/2012,51262700,10.686675761709859
9/28/2012,65486000,6.602031394275159
9/27/2012,30215900,-0.3937007874015664
9/26/2012,38271900,-1.4064015518913633
9/25/2012,46291700,-8.234714003944763
9/24/2012,79106500,-5.002405002404998
9/21/2012,51218100,2.5809273840769897
9/20/2012,57248900,2.6560424966799534
9/19/2012,78782800,6.998711893516527
9/18/2012,36760500,7.087334247828078
9/17/2012,50667600,4.18215613382899
9/14/2012,72819800,7.818181818181813
9/13/2012,65041600,-0.3862868179623288
9/12/2012,121584000,-9.221213569039655
9/11/2012,50508200,-16.263510036026762
9/10/2012,24797800,-23.817118553960665
9/7/2012,36371700,-15.226554267650162
9/6/2012,46066500,-13.502109704641343
9/5/2012,60781800,-18.406889128094736
9/4/2012,46622400,-16.807670614777216
8/31/2012,58764200,-15.891472868217061
8/30/2012,30647500,-1.7810371922472492
8/29/2012,16124700,1.5183246073298569
8/28/2012,25417000,1.8614270941054778
8/27/2012,20704000,0.9921671018276644
8/24/2012,29622200,4.276146316331797
8/23/2012,32813700,8.796296296296301
8/22/2012,49892200,7.098765432098777
8/21/2012,70640600,0.36534446764092005
8/20/2012,101186600,4.5477261369315345
8/17/2012,129293400,-1.5223097112860846
8/16/2012,157565300,3.6235530951182806
8/15/2012,47861100,8.443396226415091
8/14/2012,39308800,4.612365063788017
8/13/2012,24973100,10.0
8/10/2012,25794700,12.150389729481883
8/9/2012,15610700,4.75963826749167
8/8/2012,29537400,8.059845559845552
8/7/2012,36782900,4.102316602316592
8/6/2012,27778900,3.2846715328467257
8/3/2012,80647000,3.366524419156002
8/2/2012,56374500,-7.784431137724562
8/1/2012,44604400,-4.454022988505746
7/31/2012,56179400,3.2243205895900475
7/30/2012,29285900,10.496760259179265
7/27/2012,123102300,12.610712779417977
7/26/2012,64597400,18.361266294227185
7/25/2012,17230200,28.118609406952967
7/24/2012,11539800,29.560632688927946
7/23/2012,12390700,27.373913043478264
7/20/2012,11869100,24.513212795549375
7/19/2012,13685100,20.172413793103452
7/18/2012,16841800,18.5503263483339
7/17/2012,30438600,4.414382342470625
7/16/2012,24672100,-3.8584070796460175
7/13/2012,8108300,7.389322916666666
7/12/2012,11300700,6.68614086335605
7/11/2012,13030300,7.135938004520495
7/10/2012,14269500,7.848744836352078
7/9/2012,17785200,9.511967671743868
7/6/2012,10945600,11.471793255594076
7/5/2012,10032100,10.231966952653318
7/3/2012,8763600,1.5384615384615399
7/2/2012,14122000,-0.1299967500812452
6/29/2012,19526900,0.41800643086817546
6/28/2012,17713300,-0.35076530612244716
6/27/2012,28568000,0.18616196090597326
6/26/2012,24858700,4.138972809667677
6/25/2012,24352900,1.840299438552724
6/22/2012,74834000,5.597579425113459
6/21/2012,21875300,3.360552763819096
6/20/2012,15553600,1.582278481012658
6/19/2012,30849000,1.7235976183014752
6/18/2012,42978900,-2.610633556192285
6/15/2012,43563800,-10.296567810729755
6/14/2012,16855000,-13.326263697419593
6/13/2012,17102800,-21.195452878621186
6/12/2012,15816800,-16.2043795620438
6/11/2012,28219600,-16.99370603480192
6/8/2012,38034000,-17.749077490774905
6/7/2012,26159500,-19.38426453819841
6/6/2012,61489200,-11.93584483401717
6/5/2012,42473400,-9.354464630846532
6/4/2012,35230300,-1.3754646840148737
6/1/2012,41855500,1.1544011544011554
5/31/2012,111639200,8.75
5/30/2012,57267900,3.866619368570414
5/29/2012,78063400,8.772538141470184
5/25/2012,37149800,15.982450642431845
5/24/2012,50237200,21.677263094156825
5/23/2012,73600000,15.937500000000004
5/22/2012,101786600,10.580645161290327
5/21/2012,168192700,13.01792535997649
5/18/2012,573576400,26.26209782893015
